year,month,municipality,deaths,DiaSemChuva,Precipitacao,RiscoFogo,FRP,area_desmatada_km2
2020,3,PRESIDENTE FIGUEIREDO,0.0,3.0,0.0,0.1,7.1,0
2020,3,PRESIDENTE FIGUEIREDO,0.0,2.0,0.3,0.1,14.1,0
2020,3,PRESIDENTE FIGUEIREDO,0.0,2.0,0.5,0.0,7.0,0
2020,3,PRESIDENTE FIGUEIREDO,0.0,2.0,0.4,0.0,10.4,0
2020,3,RIO PRETO DA EVA,0.0,,,,,0
2020,3,SANTA ISABEL DO RIO NEGRO,0.0,3.0,0.1,0.0,8.0,"0,03816654532211613"
2020,3,SANTA ISABEL DO RIO NEGRO,0.0,0.0,2.6,0.0,6.8,"0,03816654532211613"
2020,3,SANTO ANTONIO DO ICA,0.0,,,,,0
2020,3,SAO GABRIEL DA CACHOEIRA,4.0,,,,,0
2020,3,SAO PAULO DE OLIVENCA,0.0,,,,,"0,02822452702261135"
2020,3,SAO SEBASTIAO DO UATUMA,1.0,,,,,"0,04144927341110398"
2020,3,SILVES,0.0,1.0,0.0,0.0,11.0,"0,5912688068283023"
2020,3,TABATINGA,1.0,,,,,0
2020,3,TAPAUA,0.0,,,,,"0,1372818034857458"
2020,3,TEFE,4.0,,,,,0
2020,3,TONANTINS,0.0,2.0,0.0,0.0,7.3,"0,02335801536036927"
2020,3,TONANTINS,0.0,1.0,0.0,0.0,6.6,"0,02335801536036927"
2020,3,UARINI,0.0,3.0,0.1,0.0,8.8,0
2020,3,UARINI,0.0,3.0,0.1,0.0,8.4,0
2020,3,UARINI,0.0,3.0,0.1,0.0,10.0,0
2020,3,UARINI,0.0,3.0,0.1,0.0,6.6,0
2020,3,UARINI,0.0,3.0,0.2,0.0,13.5,0
2020,3,UARINI,0.0,3.0,0.2,0.0,25.8,0
2020,3,URUCARA,1.0,,,,,"1,5470729402298644"
2020,3,URUCURITUBA,0.0,,,,,"4,106294031873695"
2020,3,,129.0,,,,,
2020,4,ALVARAES,0.0,,,,,0
2020,4,AMATURA,1.0,,,,,"0,0930053529973859"
2020,4,ANAMA,1.0,,,,,"0,014931801211841986"
2020,4,ANORI,0.0,,,,,0
2020,4,APUI,0.0,,,,,"0,3544249085385369"
2020,4,ATALAIA DO NORTE,0.0,,,,,0
2020,4,AUTAZES,0.0,0.0,0.2,0.0,11.3,"1,9799903594270607"
2020,4,BARCELOS,1.0,,,,,"0,04148981453375254"
2020,4,BARREIRINHA,1.0,,,,,"2,183244195510642"
2020,4,BENJAMIN CONSTANT,1.0,,,,,0
2020,4,BOA VISTA DO RAMOS,0.0,,,,,"8,11497582898325"
2020,4,BOCA DO ACRE,1.0,,,,,"0,1455113343211346"
2020,4,BORBA,1.0,,,,,"0,09713531122790045"
2020,4,CAAPIRANGA,0.0,,,,,"0,4706301730785048"
2020,4,CANUTAMA,0.0,,,,,"0,46871454958425374"
2020,4,CARAUARI,1.0,,,,,0
2020,4,CAREIRO,1.0,,,,,"0,012035883868006058"
2020,4,CAREIRO DA VARZEA,1.0,,,,,"6,512761006150412"
2020,4,COARI,4.0,,,,,"0,056543497772431006"
2020,4,CODAJAS,3.0,,,,,"0,4206079708460421"
2020,4,EIRUNEPE,1.0,,,,,"0,04247959641536796"
2020,4,ENVIRA,0.0,,,,,0
2020,4,FONTE BOA,0.0,0.0,0.3,0.0,6.5,0
2020,4,FONTE BOA,0.0,0.0,0.2,0.0,8.1,0
2020,4,GUAJARA,1.0,,,,,"0,13028665579329168"
2020,4,HUMAITA,2.0,,,,,"15,96070149816329"
2020,4,IPIXUNA,1.0,,,,,"0,06685231238359571"
2020,4,IRANDUBA,2.0,,,,,"2,179980613047716"
2020,4,ITACOATIARA,5.0,0.0,4.3,0.0,6.5,"2,2086947352253348"
2020,4,ITAMARATI,0.0,,,,,0
2020,4,ITAPIRANGA,1.0,,,,,"1,213748555463989"
2020,4,JURUA,0.0,,,,,0
2020,4,JUTAI,0.0,,,,,0
2020,4,LABREA,0.0,,,,,"0,36857392801492594"
2020,4,MANACAPURU,6.0,,,,,"1,1128868616586303"
2020,4,MANAQUIRI,0.0,,,,,"1,1256339185531616"
2020,4,MANAUS,323.0,,,,,"0,050410258663199745"
2020,4,MANICORE,0.0,,,,,"0,5038019213676104"
2020,4,MARAA,0.0,,,,,0
2020,4,MAUES,6.0,,,,,"3,2169504512333185"
2020,4,NHAMUNDA,0.0,,,,,"2,2321232623669918"
2020,4,NOVA OLINDA DO NORTE,1.0,,,,,"0,6646369482127781"
2020,4,NOVO AIRAO,1.0,,,,,0
2020,4,NOVO ARIPUANA,1.0,,,,,"0,03282936335335154"
2020,4,PARINTINS,3.0,,,,,"2,9784428355101946"
2020,4,PAUINI,0.0,,,,,0
2020,4,PRESIDENTE FIGUEIREDO,2.0,,,,,0
2020,4,RIO PRETO DA EVA,1.0,,,,,0
2020,4,SANTA ISABEL DO RIO NEGRO,0.0,,,,,"0,03816654532211613"
